"timeNumber","timePoint","LeafArea_corr","LeafArea","wt","genotype","geno.decomp","rowId","colId","plotId"
1,2017-04-13,0.00256400627169979,0.002871676,2262.27652644786,"GenoA01","WD_Panel1","2","16","c16r2"
1,2017-04-13,0.0023953923338222,0.002515396,2262.27652644786,"GenoA01","WD_Panel1","3","28","c28r3"
1,2017-04-13,0.00321017771519625,0.003377735,2262.27652644786,"GenoA01","WD_Panel1","26","24","c24r26"
1,2017-04-13,0.00302826651000333,0.003256119,2262.27652644786,"GenoA01","WD_Panel1","24","20","c20r24"
1,2017-04-13,0.00268951572463999,0.002489031,2262.27652644786,"GenoA01","WD_Panel1","56","21","c21r56"
1,2017-04-13,0.00281005460327539,0.002677329,2262.61418183226,"GenoA02","WD_Panel1","38","16","c16r38"
1,2017-04-13,0.00273707776571851,0.00270196,2262.61418183226,"GenoA02","WD_Panel1","60","20","c20r60"
1,2017-04-13,0.00296190844260884,0.003228345,2262.61418183226,"GenoA02","WD_Panel1","16","24","c24r16"
1,2017-04-13,0.00279323709655637,0.002923092,2262.61418183226,"GenoA02","WD_Panel1","24","21","c21r24"
1,2017-04-13,0.00267241096044102,0.002369287,2262.61418183226,"GenoA02","WD_Panel1","52","28","c28r52"
1,2017-04-13,0.00243465022572903,0.002446092,2263.08832553992,"GenoA03","WD_Panel1","32","24","c24r32"
1,2017-04-13,0.00245609903089963,0.002308341,2263.08832553992,"GenoA03","WD_Panel1","59","21","c21r59"
1,2017-04-13,0.00248311807235373,0.002367385,2263.08832553992,"GenoA03","WD_Panel1","56","20","c20r56"
1,2017-04-13,0.0024154219260136,0.00254906,2263.08832553992,"GenoA03","WD_Panel1","2","28","c28r2"
1,2017-04-13,0.00303835277551112,0.003215548,2263.08832553992,"GenoA03","WD_Panel1","15","16","c16r15"
1,2017-04-13,0.00172479032968116,0.001915742,2263.72811253506,"GenoA04","WD_Panel1","23","24","c24r23"
1,2017-04-13,0.00200335989749559,0.001966442,2263.72811253506,"GenoA04","WD_Panel1","23","28","c28r23"
1,2017-04-13,0.00174312188213999,0.001521498,2263.72811253506,"GenoA04","WD_Panel1","39","21","c21r39"
1,2017-04-13,0.00154175558206501,0.001467002,2263.72811253506,"GenoA04","WD_Panel1","34","16","c16r34"
1,2017-04-13,0.00177793154267561,0.002177545,2263.72811253506,"GenoA04","WD_Panel1","7","20","c20r7"
1,2017-04-13,0.00253134859629727,0.002747051,2263.4790312353,"GenoA05","WD_Panel1","21","20","c20r21"
1,2017-04-13,0.00242563542713725,0.002458901,2263.4790312353,"GenoA05","WD_Panel1","24","16","c16r24"
1,2017-04-13,0.00262034555729616,0.002357504,2263.4790312353,"GenoA05","WD_Panel1","46","24","c24r46"
1,2017-04-13,0.00247041031505638,0.002526402,2263.4790312353,"GenoA05","WD_Panel1","16","28","c28r16"
1,2017-04-13,0.00304288256159331,0.003158924,2263.4790312353,"GenoA05","WD_Panel1","28","21","c21r28"
1,2017-04-13,0.00290432282734652,0.002966795,2263.12717620184,"GenoA06","WD_Panel1","14","28","c28r14"
1,2017-04-13,0.00243711625585157,0.002261624,2263.12717620184,"GenoA06","WD_Panel1","42","20","c20r42"
1,2017-04-13,0.0029446780946768,0.00301822,2263.12717620184,"GenoA06","WD_Panel1","30","24","c24r30"
1,2017-04-13,0.00282475033937465,0.003072926,2263.12717620184,"GenoA06","WD_Panel1","3","21","c21r3"
1,2017-04-13,0.00286981599639378,0.002632797,2263.12717620184,"GenoA06","WD_Panel1","50","16","c16r50"
1,2017-04-13,0.00326369223864502,0.003570832,2263.6480808472,"GenoA07","WD_Panel1","1","24","c24r1"
1,2017-04-13,0.00358161852045554,0.00370474,2263.6480808472,"GenoA07","WD_Panel1","19","21","c21r19"
1,2017-04-13,0.00310782738392982,0.002929714,2263.6480808472,"GenoA07","WD_Panel1","41","28","c28r41"
1,2017-04-13,0.00337760809467754,0.003395914,2263.6480808472,"GenoA07","WD_Panel1","25","16","c16r25"
1,2017-04-13,0.00346380992353173,0.003365162,2263.6480808472,"GenoA07","WD_Panel1","39","20","c20r39"
1,2017-04-13,0.00339762409621787,0.003528724,2263.40812411409,"GenoA08","WD_Panel1","27","21","c21r27"
1,2017-04-13,0.00283469307811895,0.002901238,2263.40812411409,"GenoA08","WD_Panel1","12","28","c28r12"
