"geno","population","Scenario","Rep","Line","Position","Pot","LA_Estimated","Date"
"GenoA44","Panel1","WD",1,1,1,1,0.003979808,"2017-04-14"
"GenoA44","Panel1","WD",1,1,1,1,0.005551926,"2017-04-15"
"GenoA44","Panel1","WD",1,1,1,1,0.007421908,"2017-04-16"
"GenoA44","Panel1","WD",1,1,1,1,0.010886696,"2017-04-17"
"GenoA44","Panel1","WD",1,1,1,1,0.01299463,"2017-04-18"
"GenoA44","Panel1","WD",1,1,1,1,0.016238344,"2017-04-19"
"GenoA44","Panel1","WD",1,1,1,1,0.020465279,"2017-04-20"
"GenoA44","Panel1","WD",1,1,1,1,0.028304972,"2017-04-21"
"GenoA44","Panel1","WD",1,1,1,1,0.036445632,"2017-04-22"
"GenoA44","Panel1","WD",1,1,1,1,0.042289579,"2017-04-23"
"GenoA44","Panel1","WD",1,1,1,1,0.059982679,"2017-04-24"
"GenoA44","Panel1","WD",1,1,1,1,0.069632319,"2017-04-25"
"GenoA44","Panel1","WD",1,1,1,1,0.084112174,"2017-04-27"
"GenoA44","Panel1","WD",1,1,1,1,0.093423819,"2017-04-28"
"GenoA44","Panel1","WD",1,1,1,1,0.110292516,"2017-04-29"
"GenoA44","Panel1","WD",1,1,1,1,0.12763826,"2017-04-30"
"GenoA44","Panel1","WD",1,1,1,1,0.149159968,"2017-05-01"
"GenoA44","Panel1","WD",1,1,1,1,0.165137698,"2017-05-02"
"GenoA44","Panel1","WD",1,1,1,1,0.186422893,"2017-05-03"
"GenoA44","Panel1","WD",1,1,1,1,0.207410621,"2017-05-04"
"GenoA44","Panel1","WD",1,1,1,1,0.220493291,"2017-05-05"
"GenoA44","Panel1","WD",1,1,1,1,0.233109416,"2017-05-06"
"GenoA44","Panel1","WD",1,1,1,1,0.248084469,"2017-05-07"
"GenoA44","Panel1","WD",1,1,1,1,0.258774617,"2017-05-08"
"GenoA44","Panel1","WD",1,1,1,1,0.277236387,"2017-05-09"
"GenoA44","Panel1","WD",1,1,1,1,0.302929994,"2017-05-10"
"GenoA44","Panel1","WD",1,1,1,1,0.331020012,"2017-05-12"
"GenoA44","Panel1","WD",1,1,1,1,0.344929806,"2017-05-13"
"GenoA44","Panel1","WD",1,1,1,1,0.341180217,"2017-05-15"
"GenoA7","Panel1","WD",1,1,2,2,0.004034304,"2017-04-14"
"GenoA7","Panel1","WD",1,1,2,2,0.005993052,"2017-04-15"
"GenoA7","Panel1","WD",1,1,2,2,0.007944171,"2017-04-16"
"GenoA7","Panel1","WD",1,1,2,2,0.011907083,"2017-04-17"
"GenoA7","Panel1","WD",1,1,2,2,0.014219853,"2017-04-18"
"GenoA7","Panel1","WD",1,1,2,2,0.018128074,"2017-04-19"
"GenoA7","Panel1","WD",1,1,2,2,0.022483757,"2017-04-20"
"GenoA7","Panel1","WD",1,1,2,2,0.039872003,"2017-04-22"
"GenoA7","Panel1","WD",1,1,2,2,0.046169665,"2017-04-23"
"GenoA7","Panel1","WD",1,1,2,2,0.06531144,"2017-04-24"
"GenoA7","Panel1","WD",1,1,2,2,0.076272992,"2017-04-25"
"GenoA7","Panel1","WD",1,1,2,2,0.090311102,"2017-04-27"
"GenoA7","Panel1","WD",1,1,2,2,0.100380452,"2017-04-28"
"GenoA7","Panel1","WD",1,1,2,2,0.115304238,"2017-04-29"
"GenoA7","Panel1","WD",1,1,2,2,0.131309695,"2017-04-30"
"GenoA7","Panel1","WD",1,1,2,2,0.151980886,"2017-05-01"
"GenoA7","Panel1","WD",1,1,2,2,0.168631856,"2017-05-02"
"GenoA7","Panel1","WD",1,1,2,2,0.189007341,"2017-05-03"
"GenoA7","Panel1","WD",1,1,2,2,0.217812357,"2017-05-04"
"GenoA7","Panel1","WD",1,1,2,2,0.242383771,"2017-05-05"
"GenoA7","Panel1","WD",1,1,2,2,0.253030871,"2017-05-06"
"GenoA7","Panel1","WD",1,1,2,2,0.271197804,"2017-05-07"
"GenoA7","Panel1","WD",1,1,2,2,0.28586661,"2017-05-08"
"GenoA7","Panel1","WD",1,1,2,2,0.302735955,"2017-05-09"
"GenoA7","Panel1","WD",1,1,2,2,0.316763045,"2017-05-10"
"GenoA7","Panel1","WD",1,1,2,2,0.347054077,"2017-05-12"
"GenoA7","Panel1","WD",1,1,2,2,0.348932723,"2017-05-13"
"GenoA7","Panel1","WD",1,1,2,2,0.357914366,"2017-05-15"
"GenoA25","Panel1","WD",1,1,3,3,0.003235943,"2017-04-14"
"GenoA25","Panel1","WD",1,1,3,3,0.004579174,"2017-04-15"
"GenoA25","Panel1","WD",1,1,3,3,0.006408516,"2017-04-16"
"GenoA25","Panel1","WD",1,1,3,3,0.009870166,"2017-04-17"
"GenoA25","Panel1","WD",1,1,3,3,0.011284759,"2017-04-18"
"GenoA25","Panel1","WD",1,1,3,3,0.01319457,"2017-04-19"
"GenoA25","Panel1","WD",1,1,3,3,0.016810768,"2017-04-20"
"GenoA25","Panel1","WD",1,1,3,3,0.02263326,"2017-04-21"
"GenoA25","Panel1","WD",1,1,3,3,0.028821897,"2017-04-22"
"GenoA25","Panel1","WD",1,1,3,3,0.032525306,"2017-04-23"
"GenoA25","Panel1","WD",1,1,3,3,0.049835885,"2017-04-24"
"GenoA25","Panel1","WD",1,1,3,3,0.058450022,"2017-04-25"
"GenoA25","Panel1","WD",1,1,3,3,0.068654553,"2017-04-27"
"GenoA25","Panel1","WD",1,1,3,3,0.079058409,"2017-04-28"
"GenoA25","Panel1","WD",1,1,3,3,0.089417002,"2017-04-29"
"GenoA25","Panel1","WD",1,1,3,3,0.100814402,"2017-04-30"
"GenoA25","Panel1","WD",1,1,3,3,0.114839471,"2017-05-01"
"GenoA25","Panel1","WD",1,1,3,3,0.125363622,"2017-05-02"
"GenoA25","Panel1","WD",1,1,3,3,0.146699224,"2017-05-03"
"GenoA25","Panel1","WD",1,1,3,3,0.166239646,"2017-05-04"
"GenoA25","Panel1","WD",1,1,3,3,0.177219439,"2017-05-05"
"GenoA25","Panel1","WD",1,1,3,3,0.186276783,"2017-05-06"
"GenoA25","Panel1","WD",1,1,3,3,0.219210138,"2017-05-07"
"GenoA25","Panel1","WD",1,1,3,3,0.230300641,"2017-05-08"
"GenoA25","Panel1","WD",1,1,3,3,0.240253936,"2017-05-09"
"GenoA25","Panel1","WD",1,1,3,3,0.271873464,"2017-05-10"
"GenoA25","Panel1","WD",1,1,3,3,0.300174755,"2017-05-12"
"GenoA25","Panel1","WD",1,1,3,3,0.317483667,"2017-05-13"
"GenoA25","Panel1","WD",1,1,3,3,0.349547204,"2017-05-15"
"GenoA12","Panel1","WD",1,1,4,4,0.002354951,"2017-04-14"
"GenoA12","Panel1","WD",1,1,4,4,0.003548237,"2017-04-15"
"GenoA12","Panel1","WD",1,1,4,4,0.00431617,"2017-04-16"
"GenoA12","Panel1","WD",1,1,4,4,0.006874994,"2017-04-17"
"GenoA12","Panel1","WD",1,1,4,4,0.008078167,"2017-04-18"
"GenoA12","Panel1","WD",1,1,4,4,0.009378145,"2017-04-19"
"GenoA12","Panel1","WD",1,1,4,4,0.011222302,"2017-04-20"
"GenoA12","Panel1","WD",1,1,4,4,0.023423211,"2017-04-22"
"GenoA12","Panel1","WD",1,1,4,4,0.025828869,"2017-04-23"
"GenoA12","Panel1","WD",1,1,4,4,0.033215203,"2017-04-24"
"GenoA12","Panel1","WD",1,1,4,4,0.038942194,"2017-04-25"
"GenoA12","Panel1","WD",1,1,4,4,0.053144209,"2017-04-27"
"GenoA12","Panel1","WD",1,1,4,4,0.063183583,"2017-04-28"
"GenoA12","Panel1","WD",1,1,4,4,0.069981546,"2017-04-29"
"GenoA12","Panel1","WD",1,1,4,4,0.078340922,"2017-04-30"
"GenoA12","Panel1","WD",1,1,4,4,0.090048078,"2017-05-01"
"GenoA12","Panel1","WD",1,1,4,4,0.102874761,"2017-05-02"
"GenoA12","Panel1","WD",1,1,4,4,0.119166292,"2017-05-03"
"GenoA12","Panel1","WD",1,1,4,4,0.138954528,"2017-05-04"
"GenoA12","Panel1","WD",1,1,4,4,0.152040921,"2017-05-05"
"GenoA12","Panel1","WD",1,1,4,4,0.157474144,"2017-05-06"
"GenoA12","Panel1","WD",1,1,4,4,0.174291827,"2017-05-07"
"GenoA12","Panel1","WD",1,1,4,4,0.185880356,"2017-05-08"
"GenoA12","Panel1","WD",1,1,4,4,0.196515945,"2017-05-09"
"GenoA12","Panel1","WD",1,1,4,4,0.21440673,"2017-05-10"
"GenoA12","Panel1","WD",1,1,4,4,0.237614802,"2017-05-12"
"GenoA12","Panel1","WD",1,1,4,4,0.257563015,"2017-05-13"
"GenoA12","Panel1","WD",1,1,4,4,0.287313669,"2017-05-15"
"GenoA47","Panel1","WD",1,1,5,5,0.003712697,"2017-04-14"
"GenoA47","Panel1","WD",1,1,5,5,0.005562318,"2017-04-15"
"GenoA47","Panel1","WD",1,1,5,5,0.006735261,"2017-04-16"
"GenoA47","Panel1","WD",1,1,5,5,0.009913598,"2017-04-17"
"GenoA47","Panel1","WD",1,1,5,5,0.011582791,"2017-04-18"
"GenoA47","Panel1","WD",1,1,5,5,0.014115161,"2017-04-19"
"GenoA47","Panel1","WD",1,1,5,5,0.017774008,"2017-04-20"
"GenoA47","Panel1","WD",1,1,5,5,0.025502189,"2017-04-21"
"GenoA47","Panel1","WD",1,1,5,5,0.034350409,"2017-04-22"
"GenoA47","Panel1","WD",1,1,5,5,0.039294592,"2017-04-23"
"GenoA47","Panel1","WD",1,1,5,5,0.052319577,"2017-04-24"
"GenoA47","Panel1","WD",1,1,5,5,0.061525624,"2017-04-25"
"GenoA47","Panel1","WD",1,1,5,5,0.077266941,"2017-04-27"
"GenoA47","Panel1","WD",1,1,5,5,0.084779379,"2017-04-28"
"GenoA47","Panel1","WD",1,1,5,5,0.097708608,"2017-04-29"
"GenoA47","Panel1","WD",1,1,5,5,0.111888769,"2017-04-30"
"GenoA47","Panel1","WD",1,1,5,5,0.126782338,"2017-05-01"
"GenoA47","Panel1","WD",1,1,5,5,0.137034012,"2017-05-02"
"GenoA47","Panel1","WD",1,1,5,5,0.150353226,"2017-05-03"
"GenoA47","Panel1","WD",1,1,5,5,0.169024994,"2017-05-04"
"GenoA47","Panel1","WD",1,1,5,5,0.19258751,"2017-05-05"
"GenoA47","Panel1","WD",1,1,5,5,0.196790006,"2017-05-06"
"GenoA47","Panel1","WD",1,1,5,5,0.213973905,"2017-05-07"
"GenoA47","Panel1","WD",1,1,5,5,0.222732335,"2017-05-08"
"GenoA47","Panel1","WD",1,1,5,5,0.230307892,"2017-05-09"
