"timeNumber","timePoint","Biomass_Estimated_corr","Biomass_Estimated","genotype","geno.decomp","colId","rowId","plotId"
5,2017-04-17,NA,NA,"GenoA18","WD_Panel1","1","10","c1r10"
5,2017-04-17,NA,NA,"GenoA2","WW_Panel1","10","10","c10r10"
5,2017-04-17,NA,NA,"GenoA9","WW_Panel1","11","10","c11r10"
5,2017-04-17,NA,NA,"GenoA24","WD_Panel1","12","10","c12r10"
5,2017-04-17,NA,NA,"GenoA40","WD_Panel1","13","10","c13r10"
5,2017-04-17,NA,NA,"GenoA16","WW_Panel1","14","10","c14r10"
5,2017-04-17,NA,NA,"GenoA20","WW_Panel1","15","10","c15r10"
5,2017-04-17,NA,NA,"GenoA13","WD_Panel1","16","10","c16r10"
5,2017-04-17,NA,NA,"GenoB16","WW_Panel2","17","10","c17r10"
5,2017-04-17,NA,NA,"GenoA18","WW_Panel1","18","10","c18r10"
5,2017-04-17,NA,NA,"GenoA6","WW_Panel1","19","10","c19r10"
5,2017-04-17,NA,NA,"GenoA15","WW_Panel1","2","10","c2r10"
5,2017-04-17,NA,NA,"GenoA40","WD_Panel1","20","10","c20r10"
5,2017-04-17,NA,NA,"GenoA57","WD_Panel1","21","10","c21r10"
5,2017-04-17,NA,NA,"GenoA6","WW_Panel1","22","10","c22r10"
5,2017-04-17,NA,NA,"GenoA18","WW_Panel1","23","10","c23r10"
5,2017-04-17,NA,NA,"GenoA48","WD_Panel1","24","10","c24r10"
5,2017-04-17,NA,NA,"GenoA52","WW_Panel1","25","10","c25r10"
5,2017-04-17,NA,NA,"GenoA20","WW_Panel1","26","10","c26r10"
5,2017-04-17,NA,NA,"GenoB3","WD_Panel2","27","10","c27r10"
5,2017-04-17,NA,NA,"GenoA11","WD_Panel1","28","10","c28r10"
5,2017-04-17,NA,NA,"GenoA37","WW_Panel1","3","10","c3r10"
5,2017-04-17,NA,NA,"GenoA45","WD_Panel1","4","10","c4r10"
5,2017-04-17,NA,NA,"GenoA25","WW_Panel1","5","10","c5r10"
